Model,Color,Memory,Storage,Rating,Selling Price,Original Price
iPhone 11 Pro Max ,Gold,4GB,256 GB,4.7,131900,
iPhone 6s Plus ,Gold,2 GB,,4.4,49999,
iPhone 11 Pro ,Gold,4GB,512 GB,4.6,140300,
iPhone 13 Pro Max ,Sierra Blue,6 GB,,0,139900,
iPhone 8 ,Red,2 GB,64 GB,4.7,38999,39900
iPhone 11 Pro ,Silver,4GB,256 GB,4.6,79999,106600
iPhone 11 ,White,4GB,64 GB,4.6,54900,
iPhone 6 Plus ,Space Grey,1 GB,16 GB,4.5,39999,
iPhone 7 Plus ,Red,3 GB,256 GB,5,85400,
iPhone 6s ,Silver,2 GB,32 GB,4.5,25299,29900
iPhone 11 Pro ,Gold,4GB,256 GB,4.6,79999,106600
iPhone 13 Pro Max ,Gold,6 GB,,0,179900,
iPhone 11 Pro ,Midnight Green,4GB,256 GB,4.6,79999,106600
iPhone 11 Pro ,Silver,4GB,512 GB,4.6,140300,
iPhone 7 ,Black,2 GB,32 GB,4.5,24999,31500
iPhone 11 Pro ,Space Grey,4GB,256 GB,4.6,79999,106600
iPhone 7 ,Jet Black,2 GB,32 GB,4.5,24999,31500
iPhone 6s Plus ,Rose Gold,2 GB,,4.4,34900,
iPhone 7 Plus ,Gold,3 GB,32 GB,4.5,36999,37900
iPhone 8 Plus ,Gold,3 GB,256 GB,4.6,84900,
iPhone 11 Pro ,Silver,4GB,256 GB,4.6,121300,
iPhone 7 ,Red,2 GB,256 GB,4.7,74400,
iPhone 7 ,Black,2 GB,128 GB,4.5,34900,
iPhone 6 ,Gold,1 GB,64 GB,4.4,62500,
iPhone 13 Mini ,Pink,6 GB,512 GB,0,99900,
iPhone 6s ,Space Grey,2 GB,32 GB,4.5,25299,29900
iPhone 7 ,Rose Gold,2 GB,32 GB,4.5,24999,31500
iPhone 7 Plus ,Black,3 GB,128 GB,4.5,42900,
iPhone 7 Plus ,Silver,3 GB,32 GB,4.5,36999,37900
iPhone 11 Pro ,Midnight Green,4GB,256 GB,4.6,121300,
iPhone 6s ,Rose Gold,2 GB,32 GB,4.5,31999,
iPhone 7 ,Gold,2 GB,32 GB,4.5,24999,31500
iPhone 11 Pro Max ,Midnight Green,4GB,256 GB,4.7,131900,
iPhone 11 ,Red,4GB,64 GB,4.6,49900,
iPhone 13 Pro ,Silver,6 GB,256 GB,0,129900,
iPhone 11 ,Red,4GB,64 GB,4.6,49900,
iPhone 13 Pro ,Sierra Blue,6 GB,512 GB,0,149900,
iPhone 11 ,Black,4GB,128 GB,4.6,54900,
iPhone 11 ,Yellow,4GB,256 GB,4.6,64900,
iPhone SE ,Red,2 GB,256 GB,4.5,54900,
iPhone 12 ,Purple,4GB,64 GB,4.6,63999,79900
iPhone XR ,Coral,3 GB,64 GB,4.6,42999,47900
iPhone XR ,Yellow,3 GB,64 GB,4.6,42999,47900
