Model,Color,Memory,Storage,Rating,Selling Price,Original Price
Asha 311 ,Dark Grey,128 MB,140 MB,4,5999,6879
C01 Plus ,Blue,2 GB,16 GB,0,6499,6499
8110 4G,,512 MB,4 GB,3.7,6699,6699
X2 Dual SIM ,Bright Green,1 GB,4 GB,4.2,9999,9999
Lumia 510 ,Black,256 MB,4 GB,4,10999,10999
Asha 206,,32 MB,64 MB,3.8,4300,4300
6.1 Plus ,Blue,4 GB,64 GB,4.3,18599,19000
Asha 502 ,Yellow,64 MB,Expandable Upto 32 GB,3.6,3799,4000
XPlus ,Bright Green,768 MB,4 GB,3.8,7990,7990
